Name,Electorate,House,Committee,Electoral Office Postcode,Electorate Office Address complete,Electorate Office Address line 1,Electorate Office Address line 2,Electorate Office Address line 3,Electorate Office Address line 4,Electorate Office Address line 5,Email,Fax,Ministerial Address complete,Ministerial Address line 1,Ministerial Address line 2,Ministerial Address line 3,Ministerial Address line 4,Ministerial Address line 5,Ministerial Phone,Ministerial Postcode,Ministry,PO Address complete,PO Address line 1,PO Address line 2,PO Address line 3,PO Address line 4,PO Address line 5,Party,Phone,Sex,WWW,Last Updated
Hon Bruce Norman Atkinson,Eastern Metropolitan,MLC,LC Procedure; House,3131,"153-155 Springvale Road, Nunawading, VIC",153-155 Springvale Road,Nunawading,VIC,,,bruce.atkinson@parliament.vic.gov.au,(03) 9877 7199,,,,,,,,,President of the Legislative Council,"PO Box 280, Nunawading, VIC 3131",PO Box 280,Nunawading,VIC 3131,,,Liberal Party,(03) 9877 7188,Male,http://www.bruceatkinson.com.au,5-May-15
Mr Greg Barber,Northern Metropolitan,MLC,,3053,"Suite G.01, 60 Leicester Street, Carlton, VIC","Suite G.01, 60 Leicester Street",Carlton,VIC,,,greg.barber@parliament.vic.gov.au,(03) 9348 2699,,,,,,,,,Leader of The Victorian Greens,,,,,,,Victorian Greens,(03) 9348 2622,Male,"http://mps.vic.greens.org.au/, http://www.facebook.com/GregBarberMP, http://twitter.com/GregMLC",10-Jun-15
Ms Melina Gaye Bath,Eastern Victoria,MLC,Accountability and Oversight; Environment and Planning,3844,"Shop 2, 181 Franklin Street, Traralgon, VIC","Shop 2, 181 Franklin Street","Traralgon, VIC",,,,melina.bath@parliament.vic.gov.au,(03) 5176 1266,,,,,,,,,The Nationals Whip in the Legislative Council,"PO Box 1506, Traralgon 3844",PO Box 1506,Traralgon 3844,,,,The Nationals,(03) 5174 7066,Female,,15-Jun-15
Mr Jeffrey Matthew Bourman,Eastern Victoria,MLC,Dispute Resolution,3002,"(Please note: temporary office), Ground Floor, 55 St Andrews Place, East Melbourne, VIC",(Please note: temporary office),"Ground Floor, 55 St Andrews Place","East Melbourne, VIC",,,jeff.bourman@parliament.vic.gov.au,,,,,,,,,,,"Parliament House, Spring St, East Melbourne, VIC 3002",Parliament House,"Spring St, East Melbourne",VIC 3002,,,Shooters and Fishers Party,(03) 5143 1038,Male,,19-May-15
Dr Rachel Carling-Jenkins,Western Metropolitan,MLC,LC Procedure; Public Accounts and Estimates; Economy and Infrastructure,3030,"Shop 3, 1-13 Watton Street, Werribee, VIC",Shop 3,1-13 Watton Street,Werribee,VIC,,rachel.carling-jenkins@parliament.vic.gov.au,(03) 8742 3474,,,,,,,,,,,,,,,,Democratic Labour Party,(03) 8742 3226,Female,http://www.rachelmp.com.au/,19-May-15
Ms Georgina Mary Crozier,Southern Metropolitan,MLC,,3162,"Shops 1 & 2, 667-669 Glenhuntly Road, Caulfield, VIC","Shops 1 & 2, 667-669 Glenhuntly Road",Caulfield,VIC,,,georgie.crozier@parliament.vic.gov.au,(03) 9555 3810,,,,,,,,,Shadow Minister for Families and Children; Shadow Minister for Prevention of Family Violence; Shadow Minister for Women; Shadow Cabinet Secretary,,,,,,,Liberal Party,(03) 9555 4101,Female,http://www.georgiecrozier.com.au,19-May-15
Mr Philip Dalidakis,Southern Metropolitan,MLC,Electoral Matters; Dispute Resolution; Economy and Infrastructure,3204,"281 Centre Road, Bentleigh, VIC",281 Centre Road,Bentleigh,VIC,,,philip.dalidakis@parliament.vic.gov.au,(03) 9557 1522,,,,,,,,,,,,,,,,Australian Labor Party,(03) 9557 1500,Male,"http://philipdalidakis.com.au/, http://www.facebook.com/PhilipDalidakisMP, http://twitter.com/philipdalidakis",15-May-15
Hon Richard Alex Gordon Dalla-Riva,Eastern Metropolitan,MLC,Scrutiny of Acts and Regulations; Environment and Planning,3133,"Shop 10, 477 Burwood Highway, Vermont South, VIC","Shop 10, 477 Burwood Highway",Vermont South,VIC,,,richard.dalla-riva@parliament.vic.gov.au,(03) 9803 0586,,,,,,,,,,,,,,,,Liberal Party,(03) 9803 0592,Male,http://www.richarddalla-riva.com,15-May-15
Hon David McLean Davis,Southern Metropolitan,MLC,LC Procedure; Environment and Planning,3127,"Suite 4, 976 Riversdale Road, Surrey Hills, VIC","Suite 4, 976 Riversdale Road",Surrey Hills,VIC,,,david.davis@parliament.vic.gov.au,(03) 9888 6529,,,,,,,,,Shadow Minister for Planning; Shadow Minister for Local Government; Shadow Minister for Equality,,,,,,,Liberal Party,(03) 9888 6244,Male,,15-Jun-15
Hon Damian Kevin Drum,Northern Victoria,MLC,LC Privileges,3550,"Unit 1, 239 Barnard Street, Bendigo, VIC",Unit 1,239 Barnard Street,Bendigo,VIC,,damian.drum@parliament.vic.gov.au,(03) 5443 5108,,,,,,,,,Leader of The Nationals in the Legislative Council; Shadow Minister for Regional Development; Shadow Minister for Veterans; Shadow Minister for Sport,,,,,,,The Nationals,(03) 5443 6277,Male,http://damiandrum.com.au/,19-May-15
Ms Samantha Dunn,Eastern Metropolitan,MLC,Dispute Resolution; Environment and Planning,3108,"128 Ayr Street, Doncaster, VIC",128 Ayr Street,Doncaster,VIC,,,samantha.dunn@parliament.vic.gov.au,(03) 9850 8611,,,,,,,,,,,,,,,,Victorian Greens,(03) 9850 8600,Female,"http://facebook.com/SamanthaDunnMP, http://twitter.com/SamanthaDunnMP",1-Jun-15
Mr Khalil Eideh,Western Metropolitan,MLC,"House; Economy and Infrastructure; Law Reform, Road and Community Safety",3023,"Tenancy 2, 80 Carmody Drive, Cairnlea, VIC",Tenancy 2,80 Carmody Drive,Cairnlea,VIC,,khalil.eideh@parliament.vic.gov.au,(03) 9363 1766,,,,,,,,,,,,,,,,Australian Labor Party,(03) 9363 1644,Male,,15-Jun-15
